x-axis,IN,OUT
second,Volt,Volt
-58.70000E+00,+1.14062E+00,-14.18164E+00
-58.68000E+00,+1.13086E+00,-14.18164E+00
-58.66000E+00,+1.13086E+00,-14.18164E+00
-58.64000E+00,+1.12109E+00,-14.18164E+00
-58.62000E+00,+1.11133E+00,-14.18164E+00
-58.60000E+00,+1.11133E+00,-14.18164E+00
-58.58000E+00,+1.10156E+00,-14.18164E+00
-58.56000E+00,+1.09180E+00,-14.18164E+00
-58.54000E+00,+1.09180E+00,-14.18164E+00
-58.52000E+00,+1.08203E+00,-14.18164E+00
-58.50000E+00,+1.07227E+00,-14.18164E+00
-58.48000E+00,+1.07227E+00,-14.18164E+00
-58.46000E+00,+1.06250E+00,-14.18164E+00
-58.44000E+00,+1.05273E+00,-14.18164E+00
-58.42000E+00,+1.05273E+00,-14.18164E+00
-58.40000E+00,+1.04297E+00,-14.18164E+00
-58.38000E+00,+1.03320E+00,-14.18164E+00
-58.36000E+00,+1.03320E+00,-14.18164E+00
-58.34000E+00,+1.02344E+00,-14.18164E+00
-58.32000E+00,+1.01367E+00,-14.18164E+00
-58.30000E+00,+1.01367E+00,-14.18164E+00
-58.28000E+00,+1.00391E+00,-14.18164E+00
-58.26000E+00,+994.14E-03,-14.18164E+00
-58.24000E+00,+994.14E-03,-14.18164E+00
-58.22000E+00,+984.37E-03,-14.18164E+00
-58.20000E+00,+974.61E-03,-14.18164E+00
-58.18000E+00,+974.61E-03,-14.18164E+00
-58.16000E+00,+964.84E-03,-14.18164E+00
-58.14000E+00,+955.08E-03,-14.18164E+00
-58.12000E+00,+955.08E-03,-14.18164E+00
-58.10000E+00,+945.31E-03,-14.18164E+00
-58.08000E+00,+935.55E-03,-14.18164E+00
-58.06000E+00,+925.78E-03,-14.18164E+00
-58.04000E+00,+925.78E-03,-14.18164E+00
-58.02000E+00,+916.02E-03,-14.18164E+00
-58.00000E+00,+906.25E-03,-14.18164E+00
-57.98000E+00,+896.48E-03,-14.18164E+00
-57.96000E+00,+896.48E-03,-14.18164E+00
-57.94000E+00,+886.72E-03,-14.13281E+00
-57.92000E+00,+876.95E-03,-14.07422E+00
-57.90000E+00,+867.19E-03,-14.01562E+00
-57.88000E+00,+867.19E-03,-13.95703E+00
-57.86000E+00,+857.42E-03,-13.88867E+00
-57.84000E+00,+847.66E-03,-13.83008E+00
-57.82000E+00,+847.66E-03,-13.76172E+00
-57.80000E+00,+837.89E-03,-13.69336E+00
-57.78000E+00,+828.13E-03,-13.61523E+00
-57.76000E+00,+828.12E-03,-13.55664E+00
-57.74000E+00,+818.36E-03,-13.48828E+00
-57.72000E+00,+808.59E-03,-13.42969E+00
-57.70000E+00,+808.59E-03,-13.36133E+00
-57.68000E+00,+798.83E-03,-13.29297E+00
-57.66000E+00,+789.06E-03,-13.23437E+00
-57.64000E+00,+789.06E-03,-13.16602E+00
-57.62000E+00,+779.30E-03,-13.10742E+00
-57.60000E+00,+779.30E-03,-13.04883E+00
-57.58000E+00,+769.53E-03,-13.00000E+00
-57.56000E+00,+759.77E-03,-12.93164E+00
-57.54000E+00,+759.77E-03,-12.87305E+00
-57.52000E+00,+750.00E-03,-12.80469E+00
-57.50000E+00,+750.00E-03,-12.74609E+00
-57.48000E+00,+740.23E-03,-12.68750E+00
-57.46000E+00,+730.47E-03,-12.62891E+00
-57.44000E+00,+730.47E-03,-12.57031E+00
-57.42000E+00,+720.70E-03,-12.50195E+00
-57.40000E+00,+710.94E-03,-12.43359E+00
-57.38000E+00,+710.94E-03,-12.36523E+00
-57.36000E+00,+701.17E-03,-12.29687E+00
-57.34000E+00,+691.41E-03,-12.24805E+00
-57.32000E+00,+691.41E-03,-12.17969E+00
-57.30000E+00,+681.64E-03,-12.11133E+00
-57.28000E+00,+681.64E-03,-12.04297E+00
-57.26000E+00,+671.87E-03,-11.98437E+00
-57.24000E+00,+662.11E-03,-11.91602E+00
-57.22000E+00,+652.34E-03,-11.84766E+00
-57.20000E+00,+652.34E-03,-11.78906E+00
-57.18000E+00,+642.58E-03,-11.73047E+00
-57.16000E+00,+642.58E-03,-11.67187E+00
-57.14000E+00,+632.81E-03,-11.60352E+00
-57.12000E+00,+623.05E-03,-11.53516E+00
-57.10000E+00,+613.28E-03,-11.47656E+00
-57.08000E+00,+603.52E-03,-11.40820E+00
-57.06000E+00,+603.52E-03,-11.33008E+00
-57.04000E+00,+593.75E-03,-11.26172E+00
-57.02000E+00,+593.75E-03,-11.20312E+00
-57.00000E+00,+583.98E-03,-11.13477E+00
-56.98000E+00,+574.22E-03,-11.06641E+00
-56.96000E+00,+574.22E-03,-11.00781E+00
-56.94000E+00,+564.45E-03,-10.93945E+00
-56.92000E+00,+554.69E-03,-10.88086E+00
-56.90000E+00,+554.69E-03,-10.80273E+00
-56.88000E+00,+544.92E-03,-10.73437E+00
-56.86000E+00,+544.92E-03,-10.66602E+00
-56.84000E+00,+535.16E-03,-10.60742E+00
-56.82000E+00,+525.39E-03,-10.53906E+00
-56.80000E+00,+525.39E-03,-10.48047E+00
-56.78000E+00,+515.62E-03,-10.41211E+00
-56.76000E+00,+505.86E-03,-10.34375E+00
-56.74000E+00,+505.86E-03,-10.27539E+00
-56.72000E+00,+496.09E-03,-10.20703E+00
-56.70000E+00,+486.33E-03,-10.14844E+00
-56.68000E+00,+486.33E-03,-10.08008E+00
-56.66000E+00,+476.56E-03,-10.02148E+00
-56.64000E+00,+466.80E-03,-9.95312E+00
-56.62000E+00,+466.80E-03,-9.88477E+00
-56.60000E+00,+457.03E-03,-9.82617E+00
-56.58000E+00,+447.27E-03,-9.76758E+00
-56.56000E+00,+447.27E-03,-9.69922E+00
-56.54000E+00,+437.50E-03,-9.64062E+00
-56.52000E+00,+427.73E-03,-9.57227E+00
-56.50000E+00,+427.73E-03,-9.50391E+00
-56.48000E+00,+417.97E-03,-9.43555E+00
-56.46000E+00,+408.20E-03,-9.37695E+00
-56.44000E+00,+408.20E-03,-9.30859E+00
-56.42000E+00,+398.44E-03,-9.25000E+00
-56.40000E+00,+388.67E-03,-9.18164E+00
-56.38000E+00,+388.67E-03,-9.12305E+00
-56.36000E+00,+378.91E-03,-9.05469E+00
-56.34000E+00,+369.14E-03,-8.98633E+00
-56.32000E+00,+369.14E-03,-8.91797E+00
-56.30000E+00,+359.37E-03,-8.84961E+00
-56.28000E+00,+349.61E-03,-8.78125E+00
-56.26000E+00,+339.84E-03,-8.72266E+00
-56.24000E+00,+339.84E-03,-8.65430E+00
-56.22000E+00,+330.08E-03,-8.59570E+00
-56.20000E+00,+320.31E-03,-8.53711E+00
-56.18000E+00,+320.31E-03,-8.47852E+00
-56.16000E+00,+310.55E-03,-8.41016E+00
-56.14000E+00,+300.78E-03,-8.35156E+00
-56.12000E+00,+300.78E-03,-8.28320E+00
-56.10000E+00,+291.02E-03,-8.21484E+00
-56.08000E+00,+281.25E-03,-8.15625E+00
-56.06000E+00,+271.48E-03,-8.08789E+00
-56.04000E+00,+261.72E-03,-8.02930E+00
-56.02000E+00,+261.72E-03,-7.96094E+00
-56.00000E+00,+251.95E-03,-7.90234E+00
-55.98000E+00,+251.95E-03,-7.84375E+00
-55.96000E+00,+242.19E-03,-7.77539E+00
-55.94000E+00,+232.42E-03,-7.71680E+00
-55.92000E+00,+222.66E-03,-7.64844E+00
-55.90000E+00,+222.66E-03,-7.58984E+00
-55.88000E+00,+212.89E-03,-7.52148E+00
-55.86000E+00,+203.13E-03,-7.46289E+00
-55.84000E+00,+203.12E-03,-7.39453E+00
-55.82000E+00,+193.36E-03,-7.33594E+00
-55.80000E+00,+183.59E-03,-7.26758E+00
-55.78000E+00,+173.83E-03,-7.20898E+00
-55.76000E+00,+173.83E-03,-7.14062E+00
-55.74000E+00,+164.06E-03,-7.07227E+00
-55.72000E+00,+164.06E-03,-7.00391E+00
-55.70000E+00,+154.30E-03,-6.93555E+00
-55.68000E+00,+144.53E-03,-6.86719E+00
-55.66000E+00,+144.53E-03,-6.80859E+00
-55.64000E+00,+134.77E-03,-6.75000E+00
-55.62000E+00,+125.00E-03,-6.69141E+00
-55.60000E+00,+115.23E-03,-6.63281E+00
-55.58000E+00,+115.23E-03,-6.57422E+00
-55.56000E+00,+105.47E-03,-6.50586E+00
-55.54000E+00,+95.70E-03,-6.43750E+00
-55.52000E+00,+95.70E-03,-6.36914E+00
-55.50000E+00,+85.94E-03,-6.31055E+00
-55.48000E+00,+76.17E-03,-6.24219E+00
-55.46000E+00,+76.17E-03,-6.17383E+00
-55.44000E+00,+66.41E-03,-6.11523E+00
-55.42000E+00,+56.64E-03,-6.04687E+00
-55.40000E+00,+56.64E-03,-5.98828E+00
-55.38000E+00,+46.87E-03,-5.91992E+00
-55.36000E+00,+37.11E-03,-5.85156E+00
-55.34000E+00,+37.11E-03,-5.79297E+00
-55.32000E+00,+27.34E-03,-5.73437E+00
-55.30000E+00,+17.58E-03,-5.66602E+00
-55.28000E+00,+17.58E-03,-5.59766E+00
-55.26000E+00,+7.81E-03,-5.53906E+00
-55.24000E+00,+7.81E-03,-5.46094E+00
-55.22000E+00,-1.95E-03,-5.40234E+00
-55.20000E+00,-1.95E-03,-5.33398E+00
-55.18000E+00,-11.72E-03,-5.27539E+00
-55.16000E+00,-21.48E-03,-5.20703E+00
-55.14000E+00,-21.48E-03,-5.14844E+00
-55.12000E+00,-31.25E-03,-5.08008E+00
-55.10000E+00,-41.02E-03,-5.01172E+00
-55.08000E+00,-41.02E-03,-4.94336E+00
-55.06000E+00,-50.78E-03,-4.88477E+00
-55.04000E+00,-50.78E-03,-4.81641E+00
-55.02000E+00,-60.55E-03,-4.74805E+00
-55.00000E+00,-70.31E-03,-4.66992E+00
-54.98000E+00,-70.31E-03,-4.60156E+00
-54.96000E+00,-80.08E-03,-4.53320E+00
-54.94000E+00,-89.84E-03,-4.46484E+00
-54.92000E+00,-89.84E-03,-4.40625E+00
-54.90000E+00,-99.61E-03,-4.33789E+00
-54.88000E+00,-109.38E-03,-4.26953E+00
