Freq.	V(vin)/I(R5)
3.07716830394818e+005	(8.70153068503281e+001dB,1.54183529110201e+002°)
3.14884476149863e+005	(8.69764400231254e+001dB,1.53664327118756e+002°)
3.22219077822151e+005	(8.69361193435808e+001dB,1.53137908392590e+002°)
3.29724524314574e+005	(8.68943048989641e+001dB,1.52604354758228e+002°)
3.37404795114209e+005	(8.68509567509607e+001dB,1.52063758953645e+002°)
3.45263962402293e+005	(8.68060350198517e+001dB,1.51516224857727e+002°)
3.53306193213353e+005	(8.67594999728150e+001dB,1.50961867689266e+002°)
3.61535751644614e+005	(8.67113121160908e+001dB,1.50400814172528e+002°)
3.69957001116888e+005	(8.66614322907055e+001dB,1.49833202666521e+002°)
3.78574406688115e+005	(8.66098217713976e+001dB,1.49259183255164e+002°)
3.87392537420792e+005	(8.65564423683408e+001dB,1.48678917795756e+002°)
3.96416068804557e+005	(8.65012565312086e+001dB,1.48092579923275e+002°)
4.05649785235188e+005	(8.64442274550784e+001dB,1.47500355008311e+002°)
4.15098582551361e+005	(8.63853191876296e+001dB,1.46902440066698e+002°)
4.24767470630482e+005	(8.63244967370463e+001dB,1.46299043619197e+002°)
4.34661576044993e+005	(8.62617261800020e+001dB,1.45690385499972e+002°)
4.44786144780549e+005	(8.61969747690700e+001dB,1.45076696612963e+002°)
4.55146545017509e+005	(8.61302110388788e+001dB,1.44458218635679e+002°)
4.65748269977214e+005	(8.60614049103138e+001dB,1.43835203670396e+002°)
4.76596940834568e+005	(8.59905277920562e+001dB,1.43207913843203e+002°)
4.87698309698458e+005	(8.59175526787474e+001dB,1.42576620851818e+002°)
4.99058262661601e+005	(8.58424542450746e+001dB,1.41941605463608e+002°)
5.10682822921425e+005	(8.57652089350873e+001dB,1.41303156965715e+002°)
5.22578153973647e+005	(8.56857950460820e+001dB,1.40661572569702e+002°)
5.34750562880246e+005	(8.56041928064242e+001dB,1.40017156773578e+002°)
5.47206503613544e+005	(8.55203844467194e+001dB,1.39370220684524e+002°)
5.59952580478193e+005	(8.54343542637994e+001dB,1.38721081306039e+002°)
5.72995551612860e+005	(8.53460886770446e+001dB,1.38070060793606e+002°)
5.86342332573485e+005	(8.52555762766327e+001dB,1.37417485683287e+002°)
5.99999999999998e+005	(8.51628078633728e+001dB,1.36763686097939e+002°)
6.13975795368451e+005	(8.50677764798638e+001dB,1.36108994935921e+002°)
6.28277128830538e+005	(8.49704774327891e+001dB,1.35453747047338e+002°)
6.42911583142562e+005	(8.48709083062484e+001dB,1.34798278402917e+002°)
6.57886917685909e+005	(8.47690689661012e+001dB,1.34142925260619e+002°)
6.73211072581176e+005	(8.46649615553811e+001dB,1.33488023335052e+002°)
6.88892172898128e+005	(8.45585904809155e+001dB,1.32833906974614e+002°)
7.04938532963716e+005	(8.44499623913586e+001dB,1.32180908351099e+002°)
7.21358660770446e+005	(8.43390861469128e+001dB,1.31529356666301e+002°)
7.38161262487427e+005	(8.42259727810756e+001dB,1.30879577379829e+002°)
7.55355247076498e+005	(8.41106354548037e+001dB,1.30231891462054e+002°)
7.72949731015878e+005	(8.39930894035303e+001dB,1.29586614675739e+002°)
7.90954043133842e+005	(8.38733518775135e+001dB,1.28944056889532e+002°)
8.09377729554990e+005	(8.37514420760201e+001dB,1.28304521426126e+002°)
8.28230558761728e+005	(8.36273810758745e+001dB,1.27668304447488e+002°)
8.47522526773650e+005	(8.35011917549146e+001dB,1.27035694379171e+002°)
8.67263862447554e+005	(8.33728987109054e+001dB,1.26406971375356e+002°)
8.87465032900922e+005	(8.32425281764620e+001dB,1.25782406825899e+002°)
9.08136749061722e+005	(8.31101079305294e+001dB,1.25162262906324e+002°)
9.29289971347486e+005	(8.29756672069576e+001dB,1.24546792171395e+002°)
9.50935915476665e+005	(8.28392366006972e+001dB,1.23936237192583e+002°)
9.73086058415355e+005	(8.27008479721289e+001dB,1.23330830239524e+002°)
9.95752144462533e+005	(8.25605343500166e+001dB,1.22730793005272e+002°)
1.01894619147704e+006	(8.24183298335633e+001dB,1.22136336374992e+002°)
1.04268049724962e+006	(8.22742694940222e+001dB,1.21547660237491e+002°)
1.06696764602335e+006	(8.21283892763021e+001dB,1.20964953338865e+002°)
1.09182051516599e+006	(8.19807259009818e+001dB,1.20388393177321e+002°)
1.11725228199772e+006	(8.18313167671319e+001dB,1.19818145938155e+002°)
1.14327643077794e+006	(8.16801998563218e+001dB,1.19254366467670e+002°)
1.16990675985482e+006	(8.15274136381699e+001dB,1.18697198284724e+002°)
1.19715738898132e+006	(8.13729969777761e+001dB,1.18146773628483e+002°)
1.22504276680171e+006	(8.12169890453557e+001dB,1.17603213540807e+002°)
1.25357767851242e+006	(8.10594292283730e+001dB,1.17066627981622e+002°)
1.28277725370133e+006	(8.09003570464510e+001dB,1.16537115975511e+002°)
1.31265697436973e+006	(8.07398120693125e+001dB,1.16014765787658e+002°)
1.34323268314100e+006	(8.05778338379833e+001dB,1.15499655127193e+002°)
1.37452059166066e+006	(8.04144617894637e+001dB,1.14991851375923e+002°)
1.40653728919195e+006	(8.02497351850497e+001dB,1.14491411840337e+002°)
1.43929975141169e+006	(8.00836930424576e+001dB,1.13998384024745e+002°)
1.47282534941101e+006	(7.99163740718787e+001dB,1.13512805923361e+002°)
1.50713185890574e+006	(7.97478166160631e+001dB,1.13034706329111e+002°)
1.54223746966131e+006	(7.95780585945030e+001dB,1.12564105156965e+002°)
1.57816079513722e+006	(7.94071374517589e+001dB,1.12101013779563e+002°)
1.61492088235614e+006	(7.92350901099418e+001dB,1.11645435372979e+002°)
1.65253722200289e+006	(7.90619529253427e+001dB,1.11197365270477e+002°)
1.69102975875866e+006	(7.88877616491693e+001dB,1.10756791322204e+002°)
1.73041890187595e+006	(7.87125513923303e+001dB,1.10323694258813e+002°)
1.77072553599982e+006	(7.85363565941829e+001dB,1.09898048057134e+002°)
1.81197103224120e+006	(7.83592109951402e+001dB,1.09479820306085e+002°)
1.85417725950814e+006	(7.81811476130154e+001dB,1.09068972571154e+002°)
1.89736659610102e+006	(7.80021987229649e+001dB,1.08665460755877e+002°)
1.94156194157776e+006	(7.78223958408787e+001dB,1.08269235458896e+002°)
1.98678672889554e+006	(7.76417697100549e+001dB,1.07880242325289e+002°)
2.03306493683520e+006	(7.74603502909858e+001dB,1.07498422391006e+002°)
2.08042110271518e+006	(7.72781667540776e+001dB,1.07123712419370e+002°)
2.12888033540144e+006	(7.70952474751204e+001dB,1.06756045228764e+002°)
2.17846832862060e+006	(7.69116200333216e+001dB,1.06395350010698e+002°)
2.22921137458302e+006	(7.67273112117185e+001dB,1.06041552637637e+002°)
2.28113637792335e+006	(7.65423469997826e+001dB,1.05694575960037e+002°)
2.33427086996567e+006	(7.63567525980345e+001dB,1.05354340092181e+002°)
2.38864302332097e+006	(7.61705524244896e+001dB,1.05020762686496e+002°)
2.44428166682466e+006	(7.59837701227615e+001dB,1.04693759196138e+002°)
2.50121630082200e+006	(7.57964285716547e+001dB,1.04373243125706e+002°)
2.55947711280954e+006	(7.56085498960856e+001dB,1.04059126270051e+002°)
2.61909499344098e+006	(7.54201554791792e+001dB,1.03751318941197e+002°)
2.68010155290576e+006	(7.52312659753935e+001dB,1.03449730183464e+002°)
2.74252913768923e+006	(7.50419013245369e+001dB,1.03154267976955e+002°)
2.80641084772317e+006	(7.48520807665457e+001dB,1.02864839429580e+002°)
2.87178055393581e+006	(7.46618228569046e+001dB,1.02581350957886e+002°)
2.93867291621066e+006	(7.44711454825939e+001dB,1.02303708456953e+002°)
3.00712340176362e+006	(7.42800658784630e+001dB,1.02031817459671e+002°)
3.07716830394817e+006	(7.40886006439308e+001dB,1.01765583285730e+002°)
3.14884476149862e+006	(7.38967657599270e+001dB,1.01504911180675e+002°)
3.22219077822150e+006	(7.37045766059933e+001dB,1.01249706445395e+002°)
3.29724524314573e+006	(7.35120479774706e+001dB,1.00999874556423e+002°)
3.37404795114207e+006	(7.33191941027070e+001dB,1.00755321277428e+002°)
3.45263962402292e+006	(7.31260286602266e+001dB,1.00515952762296e+002°)
3.53306193213351e+006	(7.29325647958054e+001dB,1.00281675650175e+002°)
3.61535751644612e+006	(7.27388151394079e+001dB,1.00052397152885e+002°)
3.69957001116887e+006	(7.25447918219406e+001dB,9.98280251350634e+001°)
3.78574406688114e+006	(7.23505064917879e+001dB,9.96084681874270e+001°)
3.87392537420791e+006	(7.21559703310959e+001dB,9.93936356935178e+001°)
3.96416068804555e+006	(7.19611940717782e+001dB,9.91834378902901e+001°)
4.05649785235186e+006	(7.17661880112189e+001dB,9.89777859228879e+001°)
4.15098582551359e+006	(7.15709620276531e+001dB,9.87765918939514e+001°)
4.24767470630480e+006	(7.13755255952085e+001dB,9.85797689077768e+001°)
4.34661576044991e+006	(7.11798877985940e+001dB,9.83872311096443e+001°)
4.44786144780548e+006	(7.09840573474251e+001dB,9.81988937206155e+001°)
4.55146545017507e+006	(7.07880425901776e+001dB,9.80146730680880e+001°)
4.65748269977212e+006	(7.05918515277638e+001dB,9.78344866123853e+001°)
4.76596940834566e+006	(7.03954918267272e+001dB,9.76582529696434e+001°)
4.87698309698456e+006	(7.01989708320533e+001dB,9.74858919312452e+001°)
4.99058262661599e+006	(7.00022955795971e+001dB,9.73173244800431e+001°)
5.10682822921422e+006	(6.98054728081271e+001dB,9.71524728035935e+001°)
5.22578153973645e+006	(6.96085089709891e+001dB,9.69912603046195e+001°)
5.34750562880244e+006	(6.94114102473923e+001dB,9.68336116089039e+001°)
5.47206503613542e+006	(6.92141825533230e+001dB,9.66794525708054e+001°)
5.59952580478191e+006	(6.90168315520908e+001dB,9.65287102765780e+001°)
5.72995551612858e+006	(6.88193626645120e+001dB,9.63813130456644e+001°)
5.86342332573482e+006	(6.86217810787399e+001dB,9.62371904301249e+001°)
6.00000000000000e+006	(6.84240917597453e+001dB,9.60962732123527e+001°)
