Freq.	V(vout)
2.58261691613861e+005	(-1.46519020949639e+000dB,1.38420623483801e+002°)
2.64277379203038e+005	(-1.52525212670989e+000dB,1.37591493348685e+002°)
2.70433190156792e+005	(-1.58744287073269e+000dB,1.36750845567748e+002°)
2.76732388367574e+005	(-1.65181402934940e+000dB,1.35898769888908e+002°)
2.83178313753654e+005	(-1.71841690518515e+000dB,1.35035367848608e+002°)
2.89774384029995e+005	(-1.78730241831136e+000dB,1.34160752768322e+002°)
2.96524096520366e+005	(-1.85852100805886e+000dB,1.33275049705753e+002°)
3.03431030011673e+005	(-1.93212253464387e+000dB,1.32378395359576e+002°)
3.10498846651476e+005	(-2.00815618124277e+000dB,1.31470937927013e+002°)
3.17731293889712e+005	(-2.08667035717616e+000dB,1.30552836913901e+002°)
3.25132206465639e+005	(-2.16771260288029e+000dB,1.29624262897421e+002°)
3.32705508441067e+005	(-2.25132949735338e+000dB,1.28685397242104e+002°)
3.40455215280949e+005	(-2.33756656876585e+000dB,1.27736431770236e+002°)
3.48385435982431e+005	(-2.42646820891518e+000dB,1.26777568388316e+002°)
3.56500375253497e+005	(-2.51807759218933e+000dB,1.25809018671693e+002°)
3.64804335742363e+005	(-2.61243659967514e+000dB,1.24831003410063e+002°)
3.73301720318795e+005	(-2.70958574901154e+000dB,1.23843752116965e+002°)
3.81997034408573e+005	(-2.80956413054074e+000dB,1.22847502506920e+002°)
3.90894888382323e+005	(-2.91240935025453e+000dB,1.21842499944278e+002°)
3.99999999999998e+005	(-3.01815747996809e+000dB,1.20828996868252e+002°)
4.09317196912300e+005	(-3.12684301508009e+000dB,1.19807252198982e+002°)
4.18851419220358e+005	(-3.23849884019778e+000dB,1.18777530729745e+002°)
4.28607722095041e+005	(-3.35315620281854e+000dB,1.17740102510706e+002°)
4.38591278457272e+005	(-3.47084469516757e+000dB,1.16695242229736e+002°)
4.48807381720784e+005	(-3.59159224419536e+000dB,1.15643228595942e+002°)
4.59261448598751e+005	(-3.71542510964092e+000dB,1.14584343731567e+002°)
4.69959021975810e+005	(-3.84236788996749e+000dB,1.13518872577853e+002°)
4.80905773846963e+005	(-3.97244353587974e+000dB,1.12447102320325e+002°)
4.92107508324951e+005	(-4.10567337103575e+000dB,1.11369321838729e+002°)
5.03570164717665e+005	(-4.24207711947554e+000dB,1.10285821186565e+002°)
5.15299820677251e+005	(-4.38167293920163e+000dB,1.09196891104767e+002°)
5.27302695422561e+005	(-4.52447746126853e+000dB,1.08102822573680e+002°)
5.39585153036659e+005	(-4.67050583366665e+000dB,1.07003906406917e+002°)
5.52153705841152e+005	(-4.81977176922509e+000dB,1.05900432890193e+002°)
5.65015017849099e+005	(-4.97228759670718e+000dB,1.04792691467565e+002°)
5.78175908298369e+005	(-5.12806431423251e+000dB,1.03680970476895e+002°)
5.91643355267280e+005	(-5.28711164413215e+000dB,1.02565556935681e+002°)
6.05424499374481e+005	(-5.44943808832855e+000dB,1.01446736377680e+002°)
6.19526647564990e+005	(-5.61505098332891e+000dB,1.00324792740101e+002°)
6.33957276984443e+005	(-5.78395655393130e+000dB,9.92000083003767e+001°)
6.48724038943569e+005	(-5.95615996476533e+000dB,9.80726636609209e+001°)
6.63834762975021e+005	(-6.13166536882417e+000dB,9.69430377795396e+001°)
6.79297460984695e+005	(-6.31047595219130e+000dB,9.58114080425927e+001°)
6.95120331499747e+005	(-6.49259397422265e+000dB,9.46780503773805e+001°)
7.11311764015566e+005	(-6.67802080251272e+000dB,9.35432393997036e+001°)
7.27880343443990e+005	(-6.86675694204941e+000dB,9.24072485920578e+001°)
7.44834854665144e+005	(-7.05880205804761e+000dB,9.12703505075070e+001°)
7.62184287185295e+005	(-7.25415499204274e+000dB,9.01328169939234e+001°)
7.79937839903214e+005	(-7.45281377092259e+000dB,8.89949194330089e+001°)
7.98104925987548e+005	(-7.65477560867731e+000dB,8.78569289883079e+001°)
8.16695177867808e+005	(-7.86003690075143e+000dB,8.67191168563016e+001°)
8.35718452341612e+005	(-8.06859321098734e+000dB,8.55817545146327e+001°)
8.55184835800889e+005	(-8.28043925125565e+000dB,8.44451139615505e+001°)
8.75104649579817e+005	(-8.49556885397133e+000dB,8.33094679407879e+001°)
8.95488455427331e+005	(-8.71397493779663e+000dB,8.21750901462862e+001°)
9.16347061107105e+005	(-8.93564946692839e+000dB,8.10422554014590e+001°)
9.37691526127964e+005	(-9.16058340445894e+000dB,7.99112398080411e+001°)
9.59533167607791e+005	(-9.38876666038492e+000dB,7.87823208599880e+001°)
9.81883566274007e+005	(-9.62018803491423e+000dB,7.76557775183758e+001°)
1.00475457260383e+006	(-9.85483515779000e+000dB,7.65318902437918e+001°)
1.02815831310754e+006	(-1.00926944244067e+001dB,7.54109409832962e+001°)
1.05210719675815e+006	(-1.03337509295412e+001dB,7.42932131096646e+001°)
1.07661392157076e+006	(-1.05779883995560e+001dB,7.31789913112848e+001°)
1.10169148133526e+006	(-1.08253891239540e+001dB,7.20685614317678e+001°)
1.12735317250578e+006	(-1.10759338871759e+001dB,7.09622102590281e+001°)
1.15361260125064e+006	(-1.13296019015274e+001dB,6.98602252642925e+001°)
1.18048369066655e+006	(-1.15863707421095e+001dB,6.87628942921868e+001°)
1.20798068816080e+006	(-1.18462162845963e+001dB,6.76705052037267e+001°)
1.23611817300543e+006	(-1.21091126466670e+001dB,6.65833454746835e+001°)
1.26491106406735e+006	(-1.23750321338465e+001dB,6.55017017524054e+001°)
1.29437462771851e+006	(-1.26439451904495e+001dB,6.44258593747369e+001°)
1.32452448593036e+006	(-1.29158203562496e+001dB,6.33561018551820e+001°)
1.35537662455680e+006	(-1.31906242294193e+001dB,6.22927103389041e+001°)
1.38694740181012e+006	(-1.34683214361992e+001dB,6.12359630345276e+001°)
1.41925355693429e+006	(-1.37488746076625e+001dB,6.01861346270073e+001°)
1.45231221908040e+006	(-1.40322443638478e+001dB,5.91434956770548e+001°)
1.48614091638868e+006	(-1.43183893054343e+001dB,5.81083120127556e+001°)
1.52075758528224e+006	(-1.46072660130348e+001dB,5.70808441190720e+001°)
1.55618057997711e+006	(-1.48988290540854e+001dB,5.60613465309134e+001°)
1.59242868221398e+006	(-1.51930309972151e+001dB,5.50500672353599e+001°)
1.62952111121644e+006	(-1.54898224338871e+001dB,5.40472470884595e+001°)
1.66747753388133e+006	(-1.57891520070179e+001dB,5.30531192517835e+001°)
1.70631807520636e+006	(-1.60909664462009e+001dB,5.20679086536274e+001°)
1.74606332896065e+006	(-1.63952106090880e+001dB,5.10918314793891e+001°)
1.78673436860384e+006	(-1.67018275284213e+001dB,5.01250946952557e+001°)
1.82835275845949e+006	(-1.70107584641498e+001dB,4.91678956088890e+001°)
1.87094056514878e+006	(-1.73219429600233e+001dB,4.82204214703273e+001°)
1.91452036929054e+006	(-1.76353189040204e+001dB,4.72828491158262e+001°)
1.95911527747377e+006	(-1.79508225919404e+001dB,4.63553446568544e+001°)
2.00474893450908e+006	(-1.82683887934787e+001dB,4.54380632159469e+001°)
2.05144553596545e+006	(-1.85879508200945e+001dB,4.45311487106105e+001°)
2.09922984099908e+006	(-1.89094405939893e+001dB,4.36347336859761e+001°)
2.14812718548100e+006	(-1.92327887175229e+001dB,4.27489391964146e+001°)
2.19816349543049e+006	(-1.95579245424198e+001dB,4.18738747358736e+001°)
2.24936530076138e+006	(-1.98847762381421e+001dB,4.10096382162676e+001°)
2.30175974934861e+006	(-2.02132708588457e+001dB,4.01563159928575e+001°)
2.35537462142234e+006	(-2.05433344083743e+001dB,3.93139829352016e+001°)
2.41023834429742e+006	(-2.08748919027920e+001dB,3.84827025419380e+001°)
2.46638000744591e+006	(-2.12078674300066e+001dB,3.76625270973824e+001°)
2.52382937792076e+006	(-2.15421842060880e+001dB,3.68534978676922e+001°)
2.58261691613861e+006	(-2.18777646279411e+001dB,3.60556453341469e+001°)
2.64277379203037e+006	(-2.22145303220501e+001dB,3.52689894609464e+001°)
2.70433190156791e+006	(-2.25524021890686e+001dB,3.44935399948081e+001°)
2.76732388367573e+006	(-2.28913004440869e+001dB,3.37292967935693e+001°)
2.83178313753653e+006	(-2.32311446524671e+001dB,3.29762501809537e+001°)
2.89774384029994e+006	(-2.35718537611894e+001dB,3.22343813246503e+001°)
2.96524096520365e+006	(-2.39133461257120e+001dB,3.15036626348664e+001°)
3.00000000000000e+006	(-2.40864567852192e+001dB,3.11380653665344e+001°)
